STREAM COPY
Array size: 76.29 MB
Sample size: 1000
Sample data (cycle count):
stream 32542422
stream 32651121
stream 32622580
stream 32635045
stream 32749221
stream 32639482
stream 32659764
stream 32655533
stream 32647917
stream 32622878
stream 32605114
stream 32663394
stream 32620690
stream 32591275
stream 32732666
stream 32560762
stream 32656335
stream 32618637
stream 32598494
stream 32637577
stream 32636225
stream 32731131
stream 32547800
stream 32653309
stream 32611057
stream 32673222
stream 32705243
stream 32600616
stream 32637517
stream 32579950
stream 32643703
stream 32604291
stream 32657625
stream 32585128
stream 32676236
stream 32559253
stream 32652276
stream 32655924
stream 32638976
stream 32639564
stream 32614290
stream 32657782
stream 32572230
stream 32659809
stream 32565123
stream 32650837
stream 32635423
stream 32607104
stream 32614190
stream 32584369
stream 32690853
stream 32604584
stream 32632481
stream 32587962
stream 32654192
stream 32558970
stream 32589943
stream 32643245
stream 32630105
stream 32646766
stream 32581805
stream 32683307
stream 32547203
stream 32656878
stream 32566056
stream 32715968
stream 32572510
stream 32592177
stream 32621989
stream 32593640
stream 32719025
stream 32585710
stream 32645672
stream 32598705
stream 32673426
stream 32600835
stream 32671656
stream 32620962
stream 32570304
stream 32635938
stream 32560835
stream 32582461
stream 32612748
stream 32692127
stream 32572706
stream 32654077
stream 32599345
stream 32655055
stream 32636943
stream 32625098
stream 32627185
stream 32634310
stream 32650225
stream 32567528
stream 32665238
stream 32576762
stream 32651898
stream 32609393
stream 32569424
stream 32629763
stream 32630839
stream 32654358
stream 32597388
stream 32644182
stream 32557397
stream 32665481
stream 32644045
stream 32608829
stream 32594761
stream 32631491
stream 32629998
stream 32625466
stream 32632667
stream 32615006
stream 32657353
stream 32560573
stream 32678592
stream 32607857
stream 32647628
stream 32619947
stream 32615802
stream 32702196
stream 32628940
stream 32649628
stream 32591936
stream 32586533
stream 32600299
stream 32629672
stream 32634195
stream 32606263
stream 32670522
stream 32597321
stream 32666158
stream 32695927
stream 32672686
stream 32549379
stream 32600640
stream 32569828
stream 32636410
stream 32639598
stream 32642557
stream 32642539
stream 32601258
stream 32646375
stream 32623000
stream 32612778
stream 32632488
stream 32670714
stream 32579931
stream 32663012
stream 32659810
stream 32630071
stream 32651297
stream 32577048
stream 32652605
stream 32979392
stream 32808541
stream 32634770
