STREAM COPY
TSC frequency: 3.20 GHz
Array size: 76.29 MB
Sample size: 1000
Sample data (cycle count):
stream 32895583
stream 32888810
stream 33013547
stream 32904899
stream 32871719
stream 32926211
stream 32903320
stream 32906203
stream 32908504
stream 32851614
stream 32937993
stream 32822281
stream 32937643
stream 32903668
stream 32943814
stream 32983455
stream 32878333
stream 32909245
stream 32857497
stream 32944844
stream 32942543
stream 32882987
stream 32955377
stream 32851517
stream 32939310
stream 32853074
stream 32970679
stream 32988181
stream 32897457
stream 32930825
stream 32926446
stream 32943302
stream 32889878
stream 32942035
stream 32927494
stream 32898192
stream 32966683
stream 32883042
stream 32970054
stream 32952576
stream 32901906
stream 32929966
stream 32939157
stream 32940703
stream 32905618
stream 32929679
stream 32935705
stream 32910412
stream 32935055
stream 32885979
stream 32975576
stream 32865457
stream 32888527
stream 32933830
stream 32909842
stream 32959863
stream 32839098
stream 32952994
stream 32852854
stream 32960613
stream 32915776
stream 32890685
stream 32997806
stream 32910037
stream 32952460
stream 32883395
stream 32951805
stream 32889749
stream 32937128
stream 32941739
stream 32876684
stream 32912156
stream 32834734
stream 32973388
stream 32900456
stream 32866889
stream 32915148
stream 32862403
stream 32930797
stream 32871308
stream 33005763
stream 32922020
stream 32899865
stream 32938771
stream 32934522
stream 32979733
stream 32879335
stream 32953631
stream 32980818
stream 32892806
stream 32886153
stream 32876852
stream 32907352
stream 32865619
stream 32913530
stream 32944908
stream 32872945
stream 32957949
stream 32829903
stream 32997422
stream 32855817
stream 32918351
stream 41732210
stream 34813704
stream 34257108
stream 33783425
stream 33402983
stream 32837644
stream 32929365
stream 32890222
stream 32843523
stream 32921817
stream 32848783
stream 33006901
stream 32927723
stream 32919287
stream 32943427
stream 32915212
stream 32922468
stream 32875776
stream 32904247
stream 32870708
stream 32947334
stream 32929694
stream 32887625
stream 32944231
stream 32872012
stream 32923334
stream 32878458
stream 32957467
stream 32933617
stream 32860465
stream 32941526
stream 32852684
stream 32908669
stream 32849655
stream 32892023
stream 32910955
stream 32846150
stream 32970944
stream 32883294
stream 32965333
stream 32858594
stream 32963730
stream 32911220
stream 32898429
stream 32893556
stream 32843447
stream 32952351
stream 32864232
stream 32933065
stream 32909050
stream 32953420
stream 32923276
stream 32890136
stream 32926690
stream 32835115
stream 32953125
stream 32917339
stream 32876770
stream 32908937
stream 32884443
stream 32938115
stream 32866185
stream 33477498
stream 33009588
stream 32976274
stream 33026569
stream 32903576
stream 32938649
stream 32865497
stream 32933357
stream 32951360
stream 32872030
stream 32903241
stream 32871857
stream 33016011
stream 32901077
stream 32978380
stream 32932468
stream 32929795
stream 32950778
stream 32865319
stream 32941647
stream 32876157
stream 32956821
