STREAM COPY
Array size: 76.29 MB
Sample size: 1000
Sample data (cycle count):
stream 32699502
stream 32591567
stream 32662784
stream 32670678
stream 32620193
stream 32678820
stream 32618786
stream 32640384
stream 32600932
stream 32654632
stream 32556715
stream 32646589
stream 32660465
stream 32622918
stream 32758773
stream 32602996
stream 32671452
stream 32582720
stream 32635795
stream 32581988
stream 32677355
stream 32621974
stream 32621221
stream 32612532
stream 32592265
stream 32631372
stream 32648488
stream 32665981
stream 32600085
stream 32655683
stream 32605489
stream 32620949
stream 32624317
stream 32621190
stream 32638985
stream 32607878
stream 32621406
stream 32569350
stream 32661309
stream 32693089
stream 32664186
stream 32587782
stream 32722084
stream 32642770
stream 32617195
stream 32631699
stream 32638793
stream 32682764
stream 32609137
stream 32650005
stream 32602776
stream 32706578
stream 32735695
stream 32647564
stream 32622550
stream 32570950
stream 32704109
stream 32593503
stream 32614787
stream 32566254
stream 32652967
stream 32564154
stream 32679610
stream 32647607
stream 32663079
stream 32621129
stream 32617707
stream 32675575
stream 32585658
stream 32689731
stream 32562932
stream 32653336
stream 32589287
stream 32625332
stream 32582132
stream 32679311
stream 32705253
stream 32594088
stream 32655113
stream 32591061
stream 32610910
stream 32546518
stream 32780580
stream 32685675
stream 32604578
stream 32666768
stream 32657307
stream 32656070
stream 32611215
stream 32722636
stream 32604175
stream 32630388
stream 32646836
stream 32588809
stream 32648932
stream 32670976
stream 32666767
stream 32620864
stream 32662458
stream 32616320
stream 32660120
stream 32612404
stream 32720052
stream 32609167
stream 32695857
stream 32707398
stream 32623314
stream 32654887
stream 32608217
stream 32679397
stream 32637529
stream 33112287
stream 32696619
stream 32679000
stream 32720110
stream 32612733
stream 32684279
stream 32591500
stream 32716419
stream 32608603
stream 32687156
stream 32694381
stream 32631262
stream 32636721
stream 32624070
stream 32684672
stream 32614403
stream 32697261
stream 32558775
stream 32670885
stream 32636718
stream 32670970
stream 32606808
stream 32632893
stream 32676590
stream 32664363
stream 32669397
stream 32610682
stream 32705975
stream 32603654
stream 32688461
stream 32623110
stream 32626371
stream 32662702
stream 32591116
stream 32662680
stream 32623311
stream 32637129
stream 32617652
stream 32638815
stream 32606861
stream 32586505
stream 32671823
stream 32634490
stream 32640168
stream 32569149
stream 32696509
stream 32573958
stream 32681234
stream 32582193
stream 32652452
stream 32649725
stream 32613151
stream 32649960
stream 32622775
stream 32638259
stream 32616521
stream 32713427
stream 32585320
stream 32681015
stream 32575351
stream 32679918
stream 32645834
stream 32577768
stream 32664009
stream 32583454
stream 32667328
stream 32607345
stream 32692708
stream 32625055
stream 32747700
stream 32679113
stream 32615171
stream 32648939
stream 32653620
stream 32686272
stream 32618164
stream 32719726
stream 32596032
stream 32711046
stream 32597184
stream 32664341
stream 32701483
stream 32660187
stream 32683398
stream 32692860
stream 32699032
stream 32629882
stream 32716895
stream 32631543
stream 32675614
stream 32623000
stream 32680171
stream 32662409
stream 32638550
stream 32734390
stream 32614281
stream 32653150
stream 32606803
stream 32704601
stream 32654705
stream 32740504
stream 32767060
stream 32654985
stream 32734778
stream 32604986
stream 32647442
stream 32599144
stream 32719508
stream 32651239
stream 32640981
stream 32676605
stream 32608524
stream 32727375
stream 32564821
stream 32656375
stream 32617143
stream 32668532
stream 32557434
stream 32685165
stream 32730907
stream 32631528
stream 32674069
stream 32674621
stream 32678214
stream 32556938
stream 32671159
stream 32597562
stream 32678095
stream 32665579
stream 32659983
stream 32713500
stream 32599256
stream 32691346
stream 32656531
stream 32683206
stream 32606413
stream 32639774
stream 32627672
stream 32662492
stream 32688426
stream 32652968
stream 32721881
stream 32682941
stream 32608314
stream 32605175
stream 32685492
stream 32609310
stream 32769111
stream 32657255
stream 32622080
stream 32664808
stream 32620184
stream 32667548
stream 32628508
stream 32679360
stream 32644916
stream 32722161
stream 32596544
