STREAM COPY
Array size: 76.29 MB
Sample size: 1000
Sample data (cycle count):
stream 32457975
stream 32523209
stream 32394886
stream 32465832
stream 32492998
stream 32459136
stream 32459880
stream 32440323
stream 32526707
stream 32476931
stream 32501348
stream 32438589
stream 32528372
stream 32445501
stream 32456844
stream 32401021
stream 32472911
stream 32471132
stream 32454888
stream 32518708
stream 32446818
stream 32488600
stream 32405034
stream 32516188
stream 32452379
stream 32499285
stream 32474182
stream 32501001
stream 32398632
stream 32556916
stream 32442356
stream 32545832
stream 32465420
stream 32446425
stream 32524236
stream 32435770
stream 32517809
stream 32455778
stream 32496445
stream 32500349
stream 32507228
stream 32486839
stream 32511016
stream 32489625
stream 32502887
stream 32470608
stream 32463766
stream 32493233
stream 32447424
stream 32527570
stream 32465643
stream 32468319
stream 32453105
